arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
-3.8,7.8,4.5,7,7,2.3,1.3,6.5,8.0,0.0,3.2,7.9,6.9,6.0,0.0
1.9,0.0,6.6,0,12,3.7,0.2,7.2,6.0,0.0,4.3,0.0,7.4,6.0,0.0
5.7,0.0,5.5,0,6,4.2,0.0,7.6,6.0,0.0,4.0,0.0,7.4,6.0,0.0
6.0,0.0,5.2,0,0,3.0,0.1,7.1,6.0,0.0,3.5,0.0,7.5,6.0,0.0
1.6,1.8,6.3,8,0,4.1,0.5,7.4,6.0,0.0,4.2,0.1,7.5,6.0,0.0
-2.8,3.4,4.6,7,2,1.6,0.2,5.9,6.0,0.0,3.3,0.1,6.4,6.0,0.0
-2.2,15.9,5.0,7,6,4.1,2.5,6.7,6.0,0.0,4.3,5.8,7.1,6.0,0.0
-5.6,4.4,3.9,7,21,3.0,0.1,5.5,6.0,0.0,2.4,1.4,5.8,8.0,0.0
-7.6,0.0,3.3,0,22,0.0,0.0,5.1,0.0,0.0,-0.7,0.0,5.2,0.0,0.0
-8.0,1.8,2.7,7,21,-1.7,0.1,4.2,7.0,0.0,-1.8,0.3,4.6,7.0,0.0
-8.1,4.7,3.1,7,22,0.3,0.3,5.1,7.0,1.0,-0.6,0.1,5.3,7.0,1.0
-6.5,1.7,3.2,7,24,0.6,0.8,3.8,7.0,0.0,-0.4,4.0,4.8,8.0,0.0
-3.4,2.7,4.6,7,24,2.0,2.2,6.3,8.0,1.0,0.9,1.9,6.3,6.0,5.0
-6.6,2.5,3.6,7,28,0.6,0.3,5.8,8.0,0.0,-0.7,0.1,5.8,7.0,0.0
-8.2,4.2,3.1,7,30,-0.6,1.2,5.3,7.0,0.0,-1.4,0.3,5.3,7.0,0.0
-7.4,15.1,3.2,7,32,0.1,1.8,5.0,7.0,2.0,-0.1,6.9,5.2,8.0,0.0
-5.5,3.6,3.8,7,45,1.5,1.8,5.9,8.0,4.0,1.3,1.8,6.3,8.0,9.0
-6.5,5.2,3.5,7,47,1.0,1.1,5.5,8.0,2.0,0.4,2.0,5.7,8.0,2.0
-4.6,19.0,4.2,7,52,2.1,5.7,6.0,8.0,2.0,1.3,5.4,6.0,8.0,3.0
-5.2,0.6,3.9,7,66,2.4,0.0,5.8,0.0,0.0,0.9,0.0,5.8,0.0,3.0
1.0,0.0,4.3,0,66,1.1,0.0,5.1,0.0,0.0,-0.4,0.0,5.1,0.0,2.0
